OBJECTID,Year,Reported Date,Occurred Date,Weekday,Offence Category,Sector,Division,Neighbourhood,Ward,Councillor,x,y
11,2023,11/23/2023 5:00:00 AM,11/23/2023 5:00:00 AM,Thursday,Homicide-2Nd Degree Murder,15,West,Centrepointe,Ward 8 - College,Laine Johnson,361962.079700002,5023163.69949946
12,2018,3/28/2018 5:00:00 AM,3/28/2018 5:00:00 AM,Wednesday,Homicide-2Nd Degree Murder,15,West,Centrepointe,Ward 8 - College,Laine Johnson,361753.681900002,5023011.50299946
13,2023,5/9/2023 5:00:00 AM,5/9/2023 5:00:00 AM,Tuesday,Homicide-2Nd Degree Murder,35,East,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Jessica Bradley,371900.732900003,5023642.51099946
14,2023,1/31/2023 5:00:00 AM,1/31/2023 5:00:00 AM,Tuesday,Homicide-2Nd Degree Murder,35,East,Emerald Woods - Sawmill Creek,Ward 10 - Gloucester-Southgate,Jessica Bradley,371602.731000002,5023574.50989946
15,2021,5/30/2021 5:00:00 AM,5/30/2021 5:00:00 AM,Sunday,Homicide-1St Degree Murder,32,East,Pineview,Ward 11 - Beacon Hill-Cyrville,Tim Tierney,374645.380700005,5031325.75179946
16,2021,11/14/2021 5:00:00 AM,11/14/2021 5:00:00 AM,Sunday,Homicide-1St Degree Murder,16,West,Barrhaven,Ward 3 - Barrhaven West,David Hill,363099.681900002,5015696.43889946
17,2018,2/4/2018 5:00:00 AM,2/4/2018 5:00:00 AM,Sunday,Homicide-1St Degree Murder,17,West,Merivale Gardens - Grenfell Glen - Pineglen - Country Place,Ward 9 - Knoxdale-Merivale,Sean Devine,367007.709000002,5021297.49099946
18,2022,10/5/2022 5:00:00 AM,10/5/2022 5:00:00 AM,Wednesday,Homicide-2Nd Degree Murder,31,East,Orléans Queenswood Heights,Ward 1 - Orléans East-Cumberland,Matthew Luloff,383056.750100007,5037933.57999946
19,2022,10/5/2022 5:00:00 AM,10/5/2022 5:00:00 AM,Wednesday,Homicide-2Nd Degree Murder,31,East,Orléans Queenswood Heights,Ward 1 - Orléans East-Cumberland,Matthew Luloff,383056.750100007,5037933.57999946
20,2019,6/7/2019 5:00:00 AM,6/7/2019 5:00:00 AM,Friday,Homicide-2Nd Degree Murder,24,Central,Byward Market,Ward 12 - Rideau-Vanier,Stéphanie Plante,367930.704100003,5032342.58489946
21,2023,2/21/2023 5:00:00 AM,2/21/2023 5:00:00 AM,Tuesday,Homicide-1St Degree Murder,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368389.704900003,5032597.58709946
22,2019,4/18/2019 5:00:00 AM,4/18/2019 5:00:00 AM,Thursday,Homicide-2Nd Degree Murder,24,Central,Byward Market,Ward 12 - Rideau-Vanier,Stéphanie Plante,367866.786200002,5032275.26129946
23,2020,3/19/2020 5:00:00 AM,3/19/2020 5:00:00 AM,Thursday,Homicide-2Nd Degree Murder,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368291.704100003,5032753.58899946
24,2019,7/1/2019 5:00:00 AM,7/1/2019 5:00:00 AM,Monday,Homicide-2Nd Degree Murder,24,Central,Byward Market,Ward 12 - Rideau-Vanier,Stéphanie Plante,368157.704100003,5032315.58489946
25,2023,11/30/2023 5:00:00 AM,11/30/2023 5:00:00 AM,Thursday,Homicide-Manslaughter,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368353.704100002,5032692.58789946
26,2019,10/31/2019 5:00:00 AM,10/31/2019 5:00:00 AM,Thursday,Homicide-1St Degree Murder,24,Central,Lowertown,Ward 12 - Rideau-Vanier,Stéphanie Plante,368291.704100003,5032753.58899946
