OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Hate Crime Status,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
1362,673,2023,10/13/2023 12:00:00 AM,10/13/2023 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Centretown,Sector 23,Central,5050041.00,Ward 14 - Somerset,Ariel Troster,Criminal
1363,674,2023,10/28/2023 12:00:00 AM,10/27/2023 12:00:00 AM,Friday,Gender,LGBTQ2+,Hatecrime Happened,Harass Crim Stalking,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
1364,675,2022,8/23/2022 12:00:00 AM,8/23/2022 12:00:00 AM,Tuesday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Dispute- Disturbance,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Non Criminal
1365,676,2022,6/2/2022 12:00:00 AM,6/2/2022 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Suspected,Dispute- Disturbance,Centretown,Sector 23,Central,5050048.00,Ward 14 - Somerset,Ariel Troster,Non Criminal
1366,677,2022,12/10/2022 12:00:00 AM,12/10/2022 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Assault With Weapon Or Cbh Lv2,Civic Hospital-Central Park,Sector 21,Central,5050021.00,Ward 16 - River,Riley Brockington,Criminal
1367,678,2022,9/29/2022 12:00:00 AM,9/28/2022 12:00:00 AM,Wednesday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Dispute- Neighbour,Civic Hospital-Central Park,Sector 21,Central,5050021.00,Ward 16 - River,Riley Brockington,Non Criminal
1368,679,2021,7/15/2021 12:00:00 AM,7/15/2021 12:00:00 AM,Thursday,Race/Ethnicity,Unknown race/ethnicity,Hatecrime Happened,Harass Crim Stalking,Civic Hospital-Central Park,Sector 21,Central,5050021.00,Ward 16 - River,Riley Brockington,Criminal
1369,680,2018,5/4/2018 12:00:00 AM,5/2/2018 12:00:00 AM,Wednesday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Suspected,Mischief To Property,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
1370,681,2022,10/21/2022 12:00:00 AM,10/21/2022 12:00:00 AM,Friday,Gender,Woman,Hatecrime Suspected,Assault Level 1,Centretown,Sector 23,Central,5050038.00,Ward 14 - Somerset,Ariel Troster,Criminal
1371,682,2018,4/22/2018 12:00:00 AM,4/22/2018 12:00:00 AM,Sunday,Religion,Muslim (Islam),Hatecrime Happened,Assault Level 1,Byward Market,Sector 24,Central,5050054.00,Ward 12 - Rideau-Vanier,Stéphanie Plante,Criminal
