OBJECTID,ID,Year,Reported Date,Occurred Date,Weekday,Hate Crime Type,Hate Crime Motivation,Hate Crime Status,Offence Category,Neighbourhood,Sector,Division,Census Tract,Ward,Councillor,Offence Type
1,1,2022,5/4/2022 12:00:00 AM,5/4/2022 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Public Incitement Of Hatred,Corkery,Sector 11,West,5050300.02,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
2,2,2021,11/28/2021 12:00:00 AM,10/25/2021 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Fitzroy,Sector 11,West,5050302.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
3,3,2023,5/23/2023 12:00:00 AM,5/23/2023 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
4,4,2020,10/4/2020 12:00:00 AM,7/31/2020 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Suspected,Theft < $5000,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
5,5,2022,7/31/2022 12:00:00 AM,7/13/2022 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
6,6,2022,5/9/2022 12:00:00 AM,5/7/2022 12:00:00 AM,Saturday,Race/Ethnicity,Other race/ethnicity,Hatecrime Happened,Wilful Promotion Of Hatred,Galetta,Sector 11,West,5050301.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
7,7,2022,10/13/2022 12:00:00 AM,10/11/2022 12:00:00 AM,Tuesday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Assault With Weapon Or Cbh Lv2,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
8,8,2022,11/8/2022 12:00:00 AM,11/8/2022 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
9,9,2022,7/29/2022 12:00:00 AM,7/29/2022 12:00:00 AM,Friday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Mischief Hate Cultrl/ Rel Prop,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
10,10,2022,5/26/2022 12:00:00 AM,5/26/2022 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
11,11,2024,2/1/2024 12:00:00 AM,1/31/2024 12:00:00 AM,Wednesday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Harass Crim Stalking,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Criminal
12,12,2020,2/14/2020 12:00:00 AM,2/14/2020 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Threats Utter To Person,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
13,13,2023,9/22/2023 12:00:00 AM,9/13/2023 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Assault Under 16,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
14,14,2022,7/31/2022 12:00:00 AM,7/30/2022 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Suspected,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.11,Ward 4 - Kanata North,Cathy Curry,Criminal
15,15,2018,9/7/2018 12:00:00 AM,9/5/2018 12:00:00 AM,Wednesday,Gender,Man,Hatecrime Suspected,Mischief To Property,Constance Bay,Sector 11,West,5050302.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
16,16,2020,4/4/2020 12:00:00 AM,4/4/2020 12:00:00 AM,Saturday,Race/Ethnicity,Indigenous/Aboriginal,Hatecrime Happened,Mischief To Property,Constance Bay,Sector 11,West,5050302.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
17,17,2023,9/16/2023 12:00:00 AM,9/15/2023 12:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Hatecrime Suspected,Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
18,18,2019,11/6/2019 12:00:00 AM,11/6/2019 12:00:00 AM,Wednesday,Mental or Physical Disability,Mental,Hatecrime Happened,Public Incitement Of Hatred,Constance Bay,Sector 11,West,5050302.00,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
19,19,2023,8/9/2023 12:00:00 AM,7/16/2023 12:00:00 AM,Sunday,Immigrants/Newcomers to Canada,Immigrants/Newcomers to Canada,Hatecrime Suspected,Dispute- Neighbour,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Non Criminal
20,20,2022,9/20/2022 12:00:00 AM,9/18/2022 12:00:00 AM,Sunday,Race/Ethnicity,South Asian,Hatecrime Suspected,Mischief To Property,Dunrobin,Sector 11,West,5050160.09,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
21,21,2022,2/25/2022 12:00:00 AM,2/25/2022 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Dispute- Disturbance,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Non Criminal
22,22,2022,9/2/2022 12:00:00 AM,7/31/2022 12:00:00 AM,Sunday,Religion,Catholic,Hatecrime Suspected,B&e Non- Res.prop/ Commercial,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
23,23,2022,12/1/2022 12:00:00 AM,10/1/2022 12:00:00 AM,Saturday,Religion,Catholic,Hatecrime Suspected,Mischief To Property,Stittsville,Sector 13,West,5050151.08,Ward 6 - Stittsville,Glen Gower,Criminal
24,24,2024,1/4/2024 12:00:00 AM,1/4/2024 12:00:00 AM,Thursday,Religion,Catholic,Hatecrime Suspected,Mischief Hate Cultrl/ Rel Prop,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
25,25,2023,10/20/2023 12:00:00 AM,10/20/2023 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
26,26,2023,10/20/2023 12:00:00 AM,10/20/2023 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
27,27,2023,8/26/2023 12:00:00 AM,8/26/2023 12:00:00 AM,Saturday,Gender,LGBTQ2+,Hatecrime Happened,Traffic Complaint -  Person,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 23 - Kanata South,Allan Hubley,Non Criminal
28,28,2022,2/3/2022 12:00:00 AM,2/2/2022 12:00:00 AM,Wednesday,Race/Ethnicity,Unknown race/ethnicity,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
29,29,2023,4/9/2023 12:00:00 AM,4/9/2023 12:00:00 AM,Sunday,Race/Ethnicity,Black,Hatecrime Suspected,Mischief To Property,Glen Cairn - Kanata South Business Park,Sector 13,West,5050151.10,Ward 6 - Stittsville,Glen Gower,Criminal
30,30,2021,10/24/2021 12:00:00 AM,10/24/2021 12:00:00 AM,Sunday,Race/Ethnicity,Black,Hatecrime Happened,Dispute- Neighbour,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Non Criminal
31,31,2024,2/7/2024 12:00:00 AM,2/7/2024 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
32,32,2023,9/17/2023 12:00:00 AM,9/17/2023 12:00:00 AM,Sunday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
33,33,2022,6/6/2022 12:00:00 AM,6/3/2022 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Suspected,Mischief To Property,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
34,34,2024,2/12/2024 12:00:00 AM,2/12/2024 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief Damage To Prop Accide,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Non Criminal
35,35,2022,3/31/2022 12:00:00 AM,3/29/2022 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Public Incitement Of Hatred,Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Criminal
36,36,2022,2/8/2022 12:00:00 AM,2/5/2022 12:00:00 AM,Saturday,Race/Ethnicity,South Asian,Hatecrime Suspected,Threats Utter To Person,Carp,Sector 11,West,5050300.01,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
37,37,2018,7/6/2018 12:00:00 AM,7/6/2018 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
38,38,2023,6/11/2023 12:00:00 AM,6/11/2023 12:00:00 AM,Sunday,Race/Ethnicity,Unknown race/ethnicity,Hatecrime Suspected,Dispute- Neighbour,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.02,Ward 6 - Stittsville,Glen Gower,Non Criminal
39,39,2022,4/25/2022 12:00:00 AM,4/25/2022 12:00:00 AM,Monday,Race/Ethnicity,Black,Hatecrime Happened,Assault Level 1,Katimavik - Hazeldean,Sector 13,West,5050160.06,Ward 23 - Kanata South,Allan Hubley,Criminal
40,40,2022,12/10/2022 12:00:00 AM,12/10/2022 12:00:00 AM,Saturday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Happened,Harass Crim Stalking,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.02,Ward 23 - Kanata South,Allan Hubley,Criminal
41,41,2022,9/21/2022 12:00:00 AM,8/1/2022 12:00:00 AM,Monday,Race/Ethnicity,South Asian,Hatecrime Suspected,Dispute- Neighbour,Stittsville,Sector 13,West,5050300.01,Ward 6 - Stittsville,Glen Gower,Non Criminal
42,42,2023,11/13/2023 12:00:00 AM,11/12/2023 12:00:00 AM,Sunday,Religion,Jewish,Hatecrime Suspected,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.12,Ward 4 - Kanata North,Cathy Curry,Criminal
43,43,2023,5/2/2023 12:00:00 AM,5/2/2023 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.12,Ward 4 - Kanata North,Cathy Curry,Criminal
44,44,2023,10/3/2023 12:00:00 AM,10/3/2023 12:00:00 AM,Tuesday,Race/Ethnicity,"India,Pakistan/South Asian",Hatecrime Suspected,B&e Residential Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.11,Ward 4 - Kanata North,Cathy Curry,Criminal
45,45,2023,2/23/2023 12:00:00 AM,2/22/2023 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
46,46,2020,8/19/2020 12:00:00 AM,8/18/2020 12:00:00 AM,Tuesday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
47,47,2018,7/19/2018 12:00:00 AM,7/17/2018 12:00:00 AM,Tuesday,Religion,Other Religion,Hatecrime Happened,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
48,48,2019,8/6/2019 12:00:00 AM,8/6/2019 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Suspected,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
49,49,2023,6/24/2023 12:00:00 AM,6/22/2023 12:00:00 AM,Thursday,Gender,LGBTQ2+,Hatecrime Suspected,Suspicious Circumstance( S),Beaverbrook,Sector 13,West,5050160.02,Ward 4 - Kanata North,Cathy Curry,Non Criminal
50,50,2022,11/21/2022 12:00:00 AM,11/21/2022 12:00:00 AM,Monday,Race/Ethnicity,Black,Hatecrime Suspected,Harass Crim Stalking,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
51,51,2020,2/18/2020 12:00:00 AM,2/14/2020 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Suspected,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.11,Ward 4 - Kanata North,Cathy Curry,Criminal
52,52,2018,9/24/2018 12:00:00 AM,9/24/2018 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Munster,Sector 12,West,5050151.09,Ward 21 - Rideau-Jock,David Brown,Criminal
53,53,2022,3/23/2022 12:00:00 AM,3/23/2022 12:00:00 AM,Wednesday,Race/Ethnicity,Other race/ethnicity,Hatecrime Happened,Public Incitement Of Hatred,Stittsville,Sector 13,West,5050300.01,Ward 6 - Stittsville,Glen Gower,Criminal
54,54,2023,1/18/2023 12:00:00 AM,1/17/2023 12:00:00 AM,Tuesday,Race/Ethnicity,"India,Pakistan/South Asian",Hatecrime Happened,Assault With Weapon Or Cbh Lv2,Stittsville,Sector 13,West,5050300.01,Ward 6 - Stittsville,Glen Gower,Criminal
55,55,2019,4/6/2019 12:00:00 AM,4/6/2019 12:00:00 AM,Saturday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.12,Ward 4 - Kanata North,Cathy Curry,Criminal
56,56,2022,4/15/2022 12:00:00 AM,4/15/2022 12:00:00 AM,Friday,Race/Ethnicity,South Asian,Hatecrime Suspected,Dispute- Disturbance,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.11,Ward 4 - Kanata North,Cathy Curry,Non Criminal
57,57,2022,6/21/2022 12:00:00 AM,6/19/2022 12:00:00 AM,Sunday,Race/Ethnicity,Black,Hatecrime Suspected,Dispute- Neighbour,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.11,Ward 4 - Kanata North,Cathy Curry,Non Criminal
58,58,2021,4/10/2021 12:00:00 AM,4/10/2021 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
59,59,2023,6/27/2023 12:00:00 AM,6/26/2023 12:00:00 AM,Monday,Race/Ethnicity,Chinese,Hatecrime Suspected,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
60,60,2021,6/14/2021 12:00:00 AM,6/14/2021 12:00:00 AM,Monday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.03,Ward 23 - Kanata South,Allan Hubley,Criminal
61,61,2018,7/5/2018 12:00:00 AM,7/4/2018 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Suspected,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.04,Ward 23 - Kanata South,Allan Hubley,Criminal
62,62,2023,5/11/2023 12:00:00 AM,5/11/2023 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Suspected,Mischief To Property,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
63,63,2023,6/19/2023 12:00:00 AM,6/19/2023 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
64,64,2022,9/14/2022 12:00:00 AM,9/14/2022 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Assault Level 1,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.04,Ward 23 - Kanata South,Allan Hubley,Criminal
65,65,2023,11/13/2023 12:00:00 AM,11/13/2023 12:00:00 AM,Monday,Religion,Muslim (Islam),Hatecrime Suspected,Threats Utter To Person,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.04,Ward 23 - Kanata South,Allan Hubley,Criminal
66,66,2020,10/25/2020 12:00:00 AM,10/25/2020 12:00:00 AM,Sunday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Mischief To Property,Bridlewood - Emerald Meadows,Sector 13,West,5050162.03,Ward 23 - Kanata South,Allan Hubley,Criminal
67,67,2022,5/2/2022 12:00:00 AM,4/7/2022 12:00:00 AM,Thursday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Threats Utter To Person,Dunrobin,Sector 11,West,5050160.09,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
68,68,2022,2/7/2022 12:00:00 AM,2/7/2022 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Criminal
69,69,2022,3/21/2022 12:00:00 AM,3/21/2022 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Criminal
70,70,2022,1/25/2022 12:00:00 AM,1/25/2022 12:00:00 AM,Tuesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 4 - Kanata North,Cathy Curry,Criminal
71,71,2023,12/26/2023 12:00:00 AM,12/26/2023 12:00:00 AM,Tuesday,Race/Ethnicity,Chinese,Hatecrime Suspected,Dispute- Disturbance,Crystal Bay - Lakeview Park,Sector 14,West,5050141.14,Ward 7 - Bay,Theresa Kavanagh,Non Criminal
72,72,2023,6/25/2023 12:00:00 AM,6/25/2023 12:00:00 AM,Sunday,Race/Ethnicity,Unknown race/ethnicity,Hatecrime Suspected,Dispute- Neighbour,Glen Cairn - Kanata South Business Park,Sector 13,West,5050162.04,Ward 23 - Kanata South,Allan Hubley,Non Criminal
73,73,2022,6/30/2022 12:00:00 AM,6/30/2022 12:00:00 AM,Thursday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
74,74,2020,10/17/2020 12:00:00 AM,10/17/2020 12:00:00 AM,Saturday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
75,75,2018,6/23/2018 12:00:00 AM,6/23/2018 12:00:00 AM,Saturday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
76,76,2018,6/20/2018 12:00:00 AM,6/20/2018 12:00:00 AM,Wednesday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.11,Ward 6 - Stittsville,Glen Gower,Criminal
77,77,2022,6/26/2022 12:00:00 AM,6/25/2022 12:00:00 AM,Saturday,Religion,Jewish,Hatecrime Happened,Assault Level 1,Munster,Sector 12,West,5050151.09,Ward 21 - Rideau-Jock,David Brown,Criminal
78,78,2022,6/30/2022 12:00:00 AM,6/30/2022 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Bridlewood - Emerald Meadows,Sector 13,West,5050161.05,Ward 23 - Kanata South,Allan Hubley,Criminal
79,79,2018,8/8/2018 12:00:00 AM,8/8/2018 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Bridlewood - Emerald Meadows,Sector 13,West,5050161.05,Ward 23 - Kanata South,Allan Hubley,Criminal
80,80,2018,8/15/2018 12:00:00 AM,8/14/2018 12:00:00 AM,Tuesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Bridlewood - Emerald Meadows,Sector 13,West,5050161.05,Ward 23 - Kanata South,Allan Hubley,Criminal
81,81,2018,7/4/2018 12:00:00 AM,6/1/2018 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Bridlewood - Emerald Meadows,Sector 13,West,5050161.05,Ward 23 - Kanata South,Allan Hubley,Criminal
82,82,2018,10/25/2018 12:00:00 AM,10/25/2018 12:00:00 AM,Thursday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Bridlewood - Emerald Meadows,Sector 13,West,5050161.05,Ward 23 - Kanata South,Allan Hubley,Criminal
83,83,2023,6/28/2023 12:00:00 AM,6/23/2023 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
84,1501,2020,10/19/2020 12:00:00 AM,10/19/2020 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Orléans Village - Chateauneuf,Sector 31,East,5050125.05,Ward 2 - Orléans West-Innes,Laura Dudas,Criminal
85,84,2023,6/27/2023 12:00:00 AM,6/26/2023 12:00:00 AM,Monday,Combination (More than 2 Motivations),Combination (More than 2 Motivations),Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
86,85,2021,11/15/2021 12:00:00 AM,11/11/2021 12:00:00 AM,Thursday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
87,86,2020,10/29/2020 12:00:00 AM,10/23/2020 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
88,87,2022,6/18/2022 12:00:00 AM,6/18/2022 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Robbery ( Personal- 1 Suspect),Bridlewood - Emerald Meadows,Sector 13,West,5050161.04,Ward 23 - Kanata South,Allan Hubley,Criminal
89,88,2023,5/23/2023 12:00:00 AM,5/23/2023 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Criminal
90,89,2023,11/8/2023 12:00:00 AM,9/13/2023 12:00:00 AM,Wednesday,Race/Ethnicity,Black,Hatecrime Happened,Threatening Communications,Kanata Lakes - Marchwood Lakeside - Morgan's Grant - Kanata North Business Park,Sector 13,West,5050160.15,Ward 23 - Kanata South,Allan Hubley,Criminal
91,90,2021,8/31/2021 12:00:00 AM,8/31/2021 12:00:00 AM,Tuesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.06,Ward 4 - Kanata North,Cathy Curry,Criminal
92,91,2023,11/17/2023 12:00:00 AM,11/17/2023 12:00:00 AM,Friday,Race/Ethnicity,"India,Pakistan/South Asian",Hatecrime Suspected,Assault With Weapon Or Cbh Lv2,Stittsville,Sector 13,West,5050300.01,Ward 4 - Kanata North,Cathy Curry,Criminal
93,92,2021,6/27/2021 12:00:00 AM,6/27/2021 12:00:00 AM,Sunday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
94,93,2021,6/7/2021 12:00:00 AM,6/4/2021 12:00:00 AM,Friday,Sexual Orientation,LGBTQ2+,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
95,94,2021,7/7/2021 12:00:00 AM,7/7/2021 12:00:00 AM,Wednesday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.04,Ward 6 - Stittsville,Glen Gower,Criminal
96,95,2020,10/4/2020 12:00:00 AM,10/3/2020 12:00:00 AM,Saturday,Race/Ethnicity,Black,Hatecrime Happened,Theft < $5000,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
97,96,2021,8/5/2021 12:00:00 AM,8/5/2021 12:00:00 AM,Thursday,Race/Ethnicity,"Arab(West Asian,Middle Eastern and North African origins)",Hatecrime Suspected,Mischief To Property,Stittsville,Sector 13,West,5050151.08,Ward 6 - Stittsville,Glen Gower,Criminal
98,97,2021,2/26/2021 12:00:00 AM,2/19/2021 12:00:00 AM,Friday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
99,98,2022,10/18/2022 12:00:00 AM,10/17/2022 12:00:00 AM,Monday,Race/Ethnicity,Multiple Races/Ethnicities,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
100,99,2022,10/17/2022 12:00:00 AM,10/17/2022 12:00:00 AM,Monday,Other Similar Factor,non,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.05,Ward 6 - Stittsville,Glen Gower,Criminal
101,100,2021,4/19/2021 12:00:00 AM,4/19/2021 12:00:00 AM,Monday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.06,Ward 6 - Stittsville,Glen Gower,Criminal
102,101,2022,5/1/2022 12:00:00 AM,5/1/2022 12:00:00 AM,Sunday,Religion,Jewish,Hatecrime Happened,Mischief To Property,Katimavik - Hazeldean,Sector 13,West,5050160.07,Ward 4 - Kanata North,Cathy Curry,Criminal
103,102,2020,3/18/2020 12:00:00 AM,3/17/2020 12:00:00 AM,Tuesday,Race/Ethnicity,Black,Hatecrime Happened,B&e Residential Property,Carp Ridge,Sector 11,West,5050160.09,Ward 5 - West Carleton-March,Clarke Kelly,Criminal
104,103,2022,4/5/2022 12:00:00 AM,4/1/2022 12:00:00 AM,Friday,Race/Ethnicity,Black,Hatecrime Happened,Mischief To Property,Stittsville,Sector 13,West,5050151.08,Ward 6 - Stittsville,Glen Gower,Criminal
